key,text
greeting_message_1,Hello! Let’s play a fun Mafia game!
greeting_message_2,Welcome to a scary Mafia town!
greeting_message_3,Hi! Get ready for some Mafia action!
greeting_message_4,Let’s dive into a dark Mafia game!
greeting_message_5,Hello! Join our spooky Mafia adventure!
greeting_message_6,Welcome! The Mafia game begins now!
greeting_message_7,Hi! Play a thrilling Mafia mystery!
greeting_message_8,Get set for a wild Mafia night!
greeting_message_9,Hello! Enter a dangerous Mafia world!
greeting_message_10,Welcome to a sneaky Mafia game!
greeting_message_11,Hi! Start your Mafia town journey!
greeting_message_12,Let’s play a creepy Mafia game!
greeting_message_13,Hello! Face the Mafia’s dark secrets!
greeting_message_14,Welcome! Join a fun Mafia battle!
greeting_message_15,Get ready for a spooky Mafia game!
greeting_message_16,Hi! Dive into a Mafia adventure!
greeting_message_17,Hello! Play a scary Mafia story!
greeting_message_18,Welcome to a thrilling Mafia night!
greeting_message_19,Let’s start a sneaky Mafia game!
greeting_message_20,Hi! Enter a dark Mafia town!
greeting_message_21,Hello! Join a wild Mafia game!
greeting_message_22,Welcome! Face a creepy Mafia challenge!
greeting_message_23,Get set for a fun Mafia mystery!
greeting_message_24,Hi! Play a dangerous Mafia game!
greeting_message_25,Hello! Start a spooky Mafia quest!
greeting_message_26,Welcome to a scary Mafia adventure!
greeting_message_27,Let’s dive into a thrilling Mafia game!
greeting_message_28,Hi! Join a sneaky Mafia story!
greeting_message_29,Hello! Enter a fun Mafia world!
greeting_message_30,Welcome! Play a dark Mafia game!
greeting_message_31,Get ready for a creepy Mafia night!
greeting_message_32,Hi! Face a wild Mafia battle!
greeting_message_33,Hello! Start a thrilling Mafia game!
greeting_message_34,Welcome to a dangerous Mafia town!
greeting_message_35,Let’s play a spooky Mafia mystery!
greeting_message_36,Hi! Dive into a scary Mafia game!
greeting_message_37,Hello! Join a fun Mafia adventure!
greeting_message_38,Welcome! Enter a sneaky Mafia game!
greeting_message_39,Get set for a dark Mafia quest!
greeting_message_40,Hi! Play a thrilling Mafia challenge!
