key,name
town_1,Monowi
town_2,Lost Springs
town_3,Kaskaskia
town_4,Buford
town_5,McMullen
town_6,Freeport City
town_7,Odanah
town_8,Riverside
town_9,Hibberts Gore
town_10,Thurmond
town_11,Lotsee
town_12,Bettles
town_13,Vernon
town_14,Fenwick
town_15,Hartly
town_16,Ismay
town_17,Jemez Springs
town_18,Hyder
town_19,Balltown
town_20,The Plains
town_21,Marklesburg
town_22,Zoar
town_23,New Shoreham
town_24,McClellanville
town_25,Hillsview
town_26,Mooresville
town_27,Gilbert
town_28,Bombay Beach
town_29,Crested Butte
town_30,Union
town_31,Hanalei
town_32,Priest River
town_33,Belknap
town_34,Triana
town_35,Josephine
town_36,Davenport
town_37,Montgomery
town_38,Fulshear
town_39,Timnath
town_40,Boca Grande
town_41, Woodstock
